0x804d772c ntosk__HAL_NULL_THUNK_DATA
0x804d7730 ntosk___imp__KdD0Transition@0
0x804d7734 ntosk___imp__KdD3Transition@0
0x804d7738 ntosk___imp__KdRestore@4
0x804d773c ntosk___imp__KdReceivePacket@20
0x804d7740 ntosk___imp__KdDebuggerInitialize0@4
0x804d7744 ntosk___imp__KdSave@4
0x804d7748 ntosk___imp__KdDebuggerInitialize1@4
0x804d774c ntosk___imp__KdSendPacket@16
0x804d7750 ntosk__KDCOM_NULL_THUNK_DATA
0x804d78dc ntosk__RtlDosPathSeperatorsString
0x804d7aa0 ntosk__FsRtlLegalAnsiCharacterArray
0x804d7b98 ntosk__FsRtlHalfSecond
0x804d7c1c ntosk_aRegistryMachin_20
0x804d7c3c ntosk_aDeviceHarddisk
0x804d7c5c ntosk__NtBuildLab
0x804d7c74 ntosk__PARTITION_ENTRY_UNUSED_GUID
0x804d7c84 ntosk__PARTITION_SYSTEM_GUID
0x804d7c94 ntosk__PARTITION_MSFT_RESERVED_GUID
0x804d7ca4 ntosk__PARTITION_BASIC_DATA_GUID
0x804d7cb4 ntosk__PARTITION_LDM_METADATA_GUID
0x804d7cc4 ntosk__PARTITION_LDM_DATA_GUID
0x804d7cd4 ntosk__GUID_DEVCLASS_1394
0x804d7ce4 ntosk__GUID_DEVCLASS_1394DEBUG
0x804d7cf4 ntosk__GUID_DEVCLASS_61883
0x804d7d04 ntosk__GUID_DEVCLASS_ADAPTER
0x804d7d14 ntosk__GUID_DEVCLASS_APMSUPPORT
0x804d7d24 ntosk__GUID_DEVCLASS_AVC
0x804d7d34 ntosk__GUID_DEVCLASS_BATTERY
0x804d7d44 ntosk__GUID_DEVCLASS_CDROM
0x804d7d54 ntosk__GUID_DEVCLASS_COMPUTER
0x804d7d64 ntosk__GUID_DEVCLASS_DECODER
0x804d7d74 ntosk__GUID_DEVCLASS_DISKDRIVE
0x804d7d84 ntosk__GUID_DEVCLASS_DISPLAY
0x804d7d94 ntosk__GUID_DEVCLASS_DOT4
0x804d7da4 ntosk__GUID_DEVCLASS_DOT4PRINT
0x804d7db4 ntosk__GUID_DEVCLASS_ENUM1394
0x804d7dc4 ntosk__GUID_DEVCLASS_FDC
0x804d7dd4 ntosk__GUID_DEVCLASS_FLOPPYDISK
0x804d7de4 ntosk__GUID_DEVCLASS_GPS
0x804d7df4 ntosk__GUID_DEVCLASS_HDC
0x804d7e04 ntosk__GUID_DEVCLASS_HIDCLASS
0x804d7e14 ntosk__GUID_DEVCLASS_IMAGE
0x804d7e24 ntosk__GUID_DEVCLASS_INFRARED
0x804d7e34 ntosk__GUID_DEVCLASS_BLUETOOTH
0x804d7e44 ntosk__GUID_DEVCLASS_KEYBOARD
0x804d7e54 ntosk__GUID_DEVCLASS_LEGACYDRIVER
0x804d7e64 ntosk__GUID_DEVCLASS_MEDIA
0x804d7e74 ntosk__GUID_DEVCLASS_MEDIUM_CHANGER
0x804d7e84 ntosk__GUID_DEVCLASS_MODEM
0x804d7e94 ntosk__GUID_DEVCLASS_MONITOR
0x804d7ea4 ntosk__GUID_DEVCLASS_MOUSE
0x804d7eb4 ntosk__GUID_DEVCLASS_MTD
0x804d7ec4 ntosk__GUID_DEVCLASS_MULTIFUNCTION
0x804d7ed4 ntosk__GUID_DEVCLASS_MULTIPORTSERIAL
0x804d7ee4 ntosk__GUID_DEVCLASS_NET
0x804d7ef4 ntosk__GUID_DEVCLASS_NETCLIENT
0x804d7f04 ntosk__GUID_DEVCLASS_NETSERVICE
0x804d7f14 ntosk__GUID_DEVCLASS_NETTRANS
0x804d7f24 ntosk__GUID_DEVCLASS_NODRIVER
0x804d7f34 ntosk__GUID_DEVCLASS_PCMCIA
0x804d7f44 ntosk__GUID_DEVCLASS_PNPPRINTERS
0x804d7f54 ntosk__GUID_DEVCLASS_PORTS
0x804d7f64 ntosk__GUID_DEVCLASS_PRINTER
0x804d7f74 ntosk__GUID_DEVCLASS_PRINTERUPGRADE
0x804d7f84 ntosk__GUID_DEVCLASS_PROCESSOR
0x804d7f94 ntosk__GUID_DEVCLASS_SBP2
0x804d7fa4 ntosk__GUID_DEVCLASS_SCSIADAPTER
0x804d7fb4 ntosk__GUID_DEVCLASS_SMARTCARDREADER
0x804d7fc4 ntosk__GUID_DEVCLASS_SOUND
0x804d7fd4 ntosk__GUID_DEVCLASS_SYSTEM
